Symbol,Name,Sector,SubIndustry,Headquarters,FirstAdded,Founded
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,1902
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1888
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,2013 (1888)
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,1981
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,2008
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,1982
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,1969
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1932
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1999
APD,Air Products & Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998
ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",2016-05-13,1985
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25,1992
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,1917
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1998
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,1985
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1994
AMCR,Amcor,Materials,Paper Packaging,"Zurich, Switzerland",2019-06-07,2019 (1860)
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,1906
AXP,American Express,Financials,Consumer Finance,"New York, New York",1976-06-30,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,1919
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1985
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1930
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,1980
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,1932
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,1965
ANSS,"ANSYS, Inc.",Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,2014 (1946)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,1967
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1994
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,1902
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,1927
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1892
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,1906
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",1989-12-01,1982
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,1949
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,1978
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",1987-12-31,1990
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,2017
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,1880
